Date,Close,High,Low,Open,Volume,MA10,MA50,MA100,MA200,RSI,Norm_Volume,Bollinger_Upper,Bollinger_Lower
2020-10-15,211.34909057617188,212.0226028949855,207.83718079423278,208.88595142081485,22733100.0,206.23809661865235,203.88242279052736,197.77583419799805,179.4499733734131,63.43000866329153,0.7098052863384955,215.3816070448306,189.20097962509126
2020-10-16,211.34909057617188,213.87957362267653,211.02195811867202,211.8205418586077,26057900.0,207.5341323852539,203.95615661621093,198.1442315673828,179.74010246276856,62.034776340435364,0.8169835664589117,216.1054496922007,190.33122633318993
2020-10-19,206.1149444580078,213.88923779727742,205.63386205841044,212.08036327672104,27625800.0,207.90360260009766,203.99950012207032,198.46422317504883,180.01360664367675,57.61150262629473,0.8662470504554148,216.10363896566213,191.45684687418162
2020-10-20,206.5286407470703,209.14572982657478,205.0276662094214,207.63513892754474,22753500.0,208.74453582763672,204.13232055664062,198.7705940246582,180.28722244262696,55.01391316960005,0.719771768434015,216.34358877072322,191.9125422107221
2020-10-21,206.6729888916016,208.71277344039027,205.05654449557616,205.05654449557616,22724900.0,209.2227310180664,204.36151611328125,199.08243988037108,180.56848045349122,52.846639283695474,0.7251623541148813,215.8817983188655,193.74156899070482
2020-10-22,206.75961303710935,207.8853441988775,203.69030468285396,205.8359282810203,22351500.0,209.63742370605468,204.48091033935546,199.37518737792968,180.83819175720214,62.4570379628183,0.7158334945318475,215.56115960590554,195.1879416514187
2020-10-23,208.0489044189453,208.09701559843646,205.0950659210141,206.8943095185114,18879600.0,209.6778335571289,204.63549713134765,199.67650848388672,181.1048038482666,59.12062426133527,0.6060817353206815,215.69905956878048,195.85922290192266
2020-10-26,202.13156127929688,208.15470699634687,200.22647929031413,205.7589262972912,37111600.0,208.58866271972656,204.66789794921874,199.94207641601562,181.34540893554689,56.17779277245212,1.1769015797517977,215.6778183154719,195.94204405025076
2020-10-27,205.1815948486328,206.54786677822875,202.37207606195386,203.58439813657571,36700300.0,207.6640151977539,204.73480712890625,200.1970635986328,181.59200477600098,55.18173683456793,1.1517932458266353,215.50596531177223,196.6902291462356
2020-10-28,195.01156616210935,200.938505204553,194.45352346476508,199.81277408368302,51195600.0,205.91479949951173,204.5750881958008,200.33921646118165,181.79323921203613,40.775311796894485,1.5771512266208054,216.26054866682165,195.1995953761471
